Rk,player,team,salary2015,salary2016,salary2017,salary2018,salary2019,salary2020,Signed Using,Guaranteed
424,Alec Burks,UTA,9213484,9904495,10595506,11286515,,,1st Round Pick,41000000
425,Rajon Rondo,SAC,9500000,,,,,,,9500000
426,DeMar DeRozan,TOR,9500000,9500000,,,,,Bird Rights,9500000
427,Mike Conley,MEM,9588426,,,,,,Cap Space,9388426
428,Anderson Varejao,CLE,9638554,10361446,10000000,,,,Bird Rights,19000000
429,Zach Randolph,MEM,9638555,10361445,,,,,Bird Rights,20000000
430,Danny Green,SAS,10000000,10000000,10000000,10000000,,,Bird Rights,30000000
431,Gerald Wallace,PHI,10105855,,,,,,Bird Rights,10105855
432,Luol Deng,MIA,10151612,,,,,,Cap Space,10151612
433,Monta Ellis,IND,10300000,10770000,11230000,11700000,,,Cap Space,32300000
434,Wilson Chandler,DEN,10500000,11200000,12000000,12800000,,,,46500000
435,Jrue Holiday,NOP,10595507,11286518,,,,,Bird Rights,21882025
436,Omer Asik,NOP,11000000,11000000,11000000,11000000,14000000,,Bird Rights,44000000
437,Thaddeus Young,BRK,11200000,12100000,12900000,13800000,,,Bird Rights,36200000
438,Marcin Gortat,WAS,11217391,12000000,12782609,13565218,,,Bird Rights,49565218
439,Tyreke Evans,NOP,11227000,11690500,,,,,Bird Rights,22917500
440,Kenneth Faried,DEN,11235955,12078652,12921348,13764045,,,1st Round Pick,50000000
441,Nikola Vucevic,ORL,11250000,11750000,12250000,12750000,,,Bird Rights,48000000
442,Stephen Curry,GSW,11370786,12112359,,,,,Bird Rights,23483145
443,Andre Iguodala,GSW,11710456,11131368,,,,,Bird Rights,22841824
444,Derrick Favors,UTA,11933333,10983333,11933333,,,,1st Round Pick,34300000
445,Al Horford,ATL,12000000,,,,,,Bird Rights,12000000
446,Amir Johnson,BOS,12000000,12000000,,,,,Cap Space,24000000
447,Kemba Walker,CHO,12000000,12000000,12000000,12000000,,,1st Round Pick,48000000
448,Andrew Bogut,GSW,12000000,11027027,,,,,Bird Rights,23027027
449,JaVale McGee,PHI,12000000,,,,,,,12000000
450,Brandon Knight,PHO,12000000,13000000,14000000,15000000,16000000,,,70000000
451,Kyle Lowry,TOR,12000000,12000000,12000000,,,,Bird Rights,24000000
452,Nikola Pekovic,MIN,12100000,12100000,11600000,,,,Bird Rights,35800000
453,Nicolas Batum,CHO,12235750,,,,,,Bird Rights,11860750
454,Serge Ibaka,OKC,12350000,12350000,,,,,Bird Rights,24500000
455,Ricky Rubio,MIN,12365000,13292375,14219750,15147125,,,1st Round Pick,55024250
456,Rudy Gay,SAC,12403101,13333333,14263566,,,,Bird Rights,25736434
457,Ty Lawson,HOU,12404495,13213482,,,,,Bird Rights,12404495
458,Robin Lopez,NYK,13000000,13500000,14000000,14500000,,,Cap Space,55000000
459,Tyson Chandler,PHO,13000000,13000000,13000000,13000000,,,Cap Space,52000000
460,Nene Hilario,WAS,13000000,,,,,,Bird Rights,13000000
461,Eric Bledsoe,PHO,13086957,14000001,14913045,15826089,,,Bird Rights,57826092
462,Joakim Noah,CHI,13400000,,,,,,Bird Rights,13400000
463,Tony Parker,SAS,13437500,14445313,15453126,,,,Bird Rights,43335939
464,DeMarre Carroll,TOR,13500000,14000000,15000000,15500000,,,Cap Space,58000000
465,Al Jefferson,CHO,13833333,,,,,,Cap Space,13833333
466,Danilo Gallinari,DEN,14000000,15500000,16000000,,,,,29500000
467,Reggie Jackson,DET,14000000,15000000,16000000,17000000,18000000,,Bird Rights,80000000
468,Draymond Green,GSW,14300000,15300000,16400000,17500000,18500000,,Bird Rights,82000000
469,DeMarcus Cousins,SAC,14728844,15756438,16784031,,,,1st Round Pick,47269313
470,Kyrie Irving,CLE,14746000,15851950,16957900,18063850,19169800,,Early Bird Rights,65619700
471,Goran Dragic,MIA,14780000,15890000,17000000,18110000,19220000,,Bird Rights,65780000
472,Khris Middleton,MIL,15000000,15000000,14000000,13000000,13000000,,Bird Rights,57000000
473,Jimmy Butler,CHI,15260000,16400000,17545000,18690000,19840000,,Bird Rights,67895000
474,Chandler Parsons,DAL,15361500,16023000,,,,,Cap Space,15361500
475,Gordon Hayward,UTA,15409570,16073140,16736710,,,,Bird Rights,31482710
476,David Lee,BOS,15493680,,,,,,Bird Rights,15493680
477,Klay Thompson,GSW,15500000,16662500,17825500,18987500,,,1st Round Pick,68975500
478,Roy Hibbert,LAL,15500000,,,,,,Bird Rights,15500000
479,Eric Gordon,NOP,15514031,,,,,,Bird Rights,15514031
480,James Harden,HOU,15756438,16784031,17811625,,,,Bird Rights,41446282
481,John Wall,WAS,15851950,16957900,18063850,19169800,,,1st Round Pick,70043500
482,Tobias Harris,ORL,16000000,17000000,16000000,15000000,,,Bird Rights,64000000
